Site name,lat,long,size of reserve,min elev,max elev
Mashpi lodge,0.16378,-78.8735,700,,
Mashpi road,0.16378,-78.8735,700,900,1200
Un Poco del Chocó,0.05233,-78.84095,15,900,1200
Maqui,0.125057,-78.631489,6000,1530,1750
Santa Lucia lower,0.11719,-78.61024,730,1700,2000
Sachatamia,-0.02538,-78.76083,120,1655,1791
Cambugan upper,0.1905,-78.48211,,2800,3000
Cambugan lower,0.186596,-78.471538,,1700,3100
Las Grallarias (lower),-0.01071,-78.73087,425,1873,2072
Verdecocha,-0.11817,-78.59747,1000,3200,3300
Yanacocha,-0.12108,-78.59028,700,3400,3500
