"","lon","lat","ele","time","name","sym","site","cmt","desc","extensions","type","link"
"35",-78.6284489,-0.003922,NA,"16-AGO-18 8:36:27","072","Flag, Blue","Alaspungo","16-AGO-18 8:36:27","16-AGO-18 8:36:27","SymbolAndName",NA,NA
"36",-78.6284489,-0.003922,NA,"16-AGO-18 8:37:07","073","Flag, Blue","Alaspungo","16-AGO-18 8:37:07","16-AGO-18 8:37:07","SymbolAndName",NA,NA
"37",-78.6284489,-0.003922,NA,"16-AGO-18 8:37:20","074","Flag, Blue","Alaspungo","16-AGO-18 8:37:20","16-AGO-18 8:37:20","SymbolAndName",NA,NA
"38",-78.6284489,-0.003922,NA,"16-AGO-18 8:37:57","075","Flag, Blue","Alaspungo","16-AGO-18 8:37:57","16-AGO-18 8:37:57","SymbolAndName",NA,NA
"39",-78.6284489,-0.003922,NA,"16-AGO-18 8:38:04","076","Flag, Blue","Alaspungo","16-AGO-18 8:38:04","16-AGO-18 8:38:04","SymbolAndName",NA,NA
"40",-78.6284489,-0.003922,NA,"16-AGO-18 8:43:49","077","Flag, Blue","Alaspungo","16-AGO-18 8:43:49","16-AGO-18 8:43:49","SymbolAndName",NA,NA
"41",-78.6284489,-0.003922,NA,"16-AGO-18 8:44:32","078","Flag, Blue","Alaspungo","16-AGO-18 8:44:32","16-AGO-18 8:44:32","SymbolAndName",NA,NA
"42",-78.6284489,-0.003922,NA,"16-AGO-18 8:44:44","079","Flag, Blue","Alaspungo","16-AGO-18 8:44:44","16-AGO-18 8:44:44","SymbolAndName",NA,NA
"43",-78.6284489,-0.003922,NA,"16-AGO-18 8:44:52","080","Flag, Blue","Alaspungo","16-AGO-18 8:44:52","16-AGO-18 8:44:52","SymbolAndName",NA,NA
"44",-78.6284489,-0.003922,NA,"16-AGO-18 8:44:55","081","Flag, Blue","Alaspungo","16-AGO-18 8:44:55","16-AGO-18 8:44:55","SymbolAndName",NA,NA
"45",-78.6284489,-0.003922,NA,"16-AGO-18 8:45:12","082","Flag, Blue","Alaspungo","16-AGO-18 8:45:12","16-AGO-18 8:45:12","SymbolAndName",NA,NA
"46",-78.6284489,-0.003922,NA,"16-AGO-18 8:45:14","083","Flag, Blue","Alaspungo","16-AGO-18 8:45:14","16-AGO-18 8:45:14","SymbolAndName",NA,NA
"47",-78.6284489,-0.003922,NA,"16-AGO-18 8:45:18","084","Flag, Blue","Alaspungo","16-AGO-18 8:45:18","16-AGO-18 8:45:18","SymbolAndName",NA,NA
"48",-78.6284489,-0.003922,NA,"16-AGO-18 8:45:21","085","Flag, Blue","Alaspungo","16-AGO-18 8:45:21","16-AGO-18 8:45:21","SymbolAndName",NA,NA
"49",-78.6284489,-0.003922,NA,"16-AGO-18 8:45:25","086","Flag, Blue","Alaspungo","16-AGO-18 8:45:25","16-AGO-18 8:45:25","SymbolAndName",NA,NA
"50",-78.6284489,-0.003922,NA,"16-AGO-18 8:45:26","087","Flag, Blue","Alaspungo","16-AGO-18 8:45:26","16-AGO-18 8:45:26","SymbolAndName",NA,NA
"51",-78.6284489,-0.003922,NA,"16-AGO-18 8:45:27","088","Flag, Blue","Alaspungo","16-AGO-18 8:45:27","16-AGO-18 8:45:27","SymbolAndName",NA,NA
"52",-78.6284489,-0.003922,NA,"16-AGO-18 8:45:28","089","Flag, Blue","Alaspungo","16-AGO-18 8:45:28","16-AGO-18 8:45:28","SymbolAndName",NA,NA
"53",-78.6284489,-0.003922,NA,"16-AGO-18 8:45:30","090","Flag, Blue","Alaspungo","16-AGO-18 8:45:30","16-AGO-18 8:45:30","SymbolAndName",NA,NA
"54",-78.6284489,-0.003922,NA,"16-AGO-18 8:45:31","091","Flag, Blue","Alaspungo","16-AGO-18 8:45:31","16-AGO-18 8:45:31","SymbolAndName",NA,NA
"55",-78.6284489,-0.003922,NA,"16-AGO-18 8:45:32","092","Flag, Blue","Alaspungo","16-AGO-18 8:45:32","16-AGO-18 8:45:32","SymbolAndName",NA,NA
"56",-78.6284489,-0.003922,NA,"16-AGO-18 8:45:35","093","Flag, Blue","Alaspungo","16-AGO-18 8:45:35","16-AGO-18 8:45:35","SymbolAndName",NA,NA
"57",-78.6284489,-0.003922,NA,"16-AGO-18 8:45:39","094","Flag, Blue","Alaspungo","16-AGO-18 8:45:39","16-AGO-18 8:45:39","SymbolAndName",NA,NA
"58",-78.6284489,-0.003922,NA,"16-AGO-18 8:45:40","095","Flag, Blue","Alaspungo","16-AGO-18 8:45:40","16-AGO-18 8:45:40","SymbolAndName",NA,NA
"59",-78.6284489,-0.003922,NA,"16-AGO-18 8:45:42","096","Flag, Blue","Alaspungo","16-AGO-18 8:45:42","16-AGO-18 8:45:42","SymbolAndName",NA,NA
"60",-78.6284489,-0.003922,NA,"16-AGO-18 8:45:43","097","Flag, Blue","Alaspungo","16-AGO-18 8:45:43","16-AGO-18 8:45:43","SymbolAndName",NA,NA
"61",-78.6284489,-0.003922,NA,"16-AGO-18 8:45:45","098","Flag, Blue","Alaspungo","16-AGO-18 8:45:45","16-AGO-18 8:45:45","SymbolAndName",NA,NA
"62",-78.6284489,-0.003922,NA,"16-AGO-18 8:45:48","099","Flag, Blue","Alaspungo","16-AGO-18 8:45:48","16-AGO-18 8:45:48","SymbolAndName",NA,NA
"63",-78.6284489,-0.003922,NA,"16-AGO-18 8:45:50","100","Flag, Blue","Alaspungo","16-AGO-18 8:45:50","16-AGO-18 8:45:50","SymbolAndName",NA,NA
"64",-78.6284489,-0.003922,NA,"16-AGO-18 8:45:52","101","Flag, Blue","Alaspungo","16-AGO-18 8:45:52","16-AGO-18 8:45:52","SymbolAndName",NA,NA
